Date,ACME,APAC,CHIC,KETC,NINN
2008-01-01,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0
2008-01-02,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0
2008-01-03,9000000.0,9000000.0,9000000.0,7000000.0,9000000.0
2008-01-04,9000000.0,8000000.0,9000000.0,8000000.0,8000000.0
2008-01-05,9000000.0,9000000.0,9000000.0,11000000.0,9000000.0
2008-01-06,11000000.0,11000000.0,11000000.0,10000000.0,10000000.0
2008-01-07,9000000.0,8000000.0,9000000.0,9000000.0,9000000.0
2008-01-08,11000000.0,12000000.0,12000000.0,11000000.0,12000000.0
2008-01-09,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0
2008-01-10,13000000.0,12000000.0,13000000.0,12000000.0,12000000.0
2008-01-11,12000000.0,12000000.0,12000000.0,12000000.0,12000000.0
2008-01-12,11000000.0,10000000.0,9000000.0,9000000.0,9000000.0
2008-01-13,13000000.0,12000000.0,13000000.0,12000000.0,12000000.0
2008-01-14,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0
2008-01-15,13000000.0,12000000.0,13000000.0,13000000.0,13000000.0
2008-01-16,1000000.0,0.0,1000000.0,1000000.0,1000000.0
2008-01-17,13000000.0,13000000.0,13000000.0,11000000.0,13000000.0
2008-01-18,13000000.0,13000000.0,13000000.0,13000000.0,14000000.0
2008-01-19,14000000.0,13000000.0,13000000.0,13000000.0,13000000.0
2008-01-20,14000000.0,13000000.0,14000000.0,13000000.0,13000000.0
2008-01-21,3000000.0,1000000.0,2000000.0,2000000.0,1000000.0
2008-01-22,8000000.0,8000000.0,9000000.0,6000000.0,9000000.0
2008-01-23,12000000.0,12000000.0,13000000.0,13000000.0,13000000.0
2008-01-24,12000000.0,12000000.0,13000000.0,12000000.0,12000000.0
2008-01-25,9000000.0,10000000.0,9000000.0,5000000.0,9000000.0
2008-01-26,12000000.0,11000000.0,10000000.0,10000000.0,10000000.0
2008-01-27,13000000.0,13000000.0,13000000.0,13000000.0,13000000.0
2008-01-28,7000000.0,7000000.0,5000000.0,,6000000.0
2008-01-29,14000000.0,14000000.0,14000000.0,14000000.0,14000000.0
2008-01-30,15000000.0,14000000.0,15000000.0,14000000.0,14000000.0
2008-01-31,3000000.0,5000000.0,3000000.0,4000000.0,3000000.0
2008-02-01,15000000.0,15000000.0,15000000.0,13000000.0,15000000.0
2008-02-02,15000000.0,15000000.0,15000000.0,15000000.0,15000000.0
2008-02-03,15000000.0,15000000.0,15000000.0,14000000.0,15000000.0
2008-02-04,15000000.0,14000000.0,15000000.0,14000000.0,15000000.0
2008-02-05,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
2008-02-06,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0
2008-02-07,14000000.0,14000000.0,14000000.0,15000000.0,14000000.0
2008-02-08,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0
2008-02-09,17000000.0,16000000.0,17000000.0,16000000.0,16000000.0
2008-02-10,16000000.0,16000000.0,15000000.0,16000000.0,15000000.0
2008-02-11,3000000.0,3000000.0,2000000.0,3000000.0,3000000.0
2008-02-12,,13000000.0,13000000.0,14000000.0,12000000.0
2008-02-13,17000000.0,16000000.0,17000000.0,17000000.0,17000000.0
2008-02-14,16000000.0,16000000.0,17000000.0,16000000.0,16000000.0
2008-02-15,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
2008-02-16,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2008-02-17,11000000.0,13000000.0,13000000.0,10000000.0,12000000.0
2008-02-18,18000000.0,17000000.0,18000000.0,18000000.0,18000000.0
2008-02-19,17000000.0,17000000.0,18000000.0,,17000000.0
2008-02-20,4000000.0,3000000.0,3000000.0,9000000.0,3000000.0
2008-02-21,3000000.0,5000000.0,3000000.0,5000000.0,4000000.0
2008-02-22,18000000.0,18000000.0,13000000.0,16000000.0,14000000.0
2008-02-23,7000000.0,7000000.0,6000000.0,7000000.0,7000000.0
2008-02-24,16000000.0,16000000.0,16000000.0,15000000.0,16000000.0
2008-02-25,16000000.0,16000000.0,16000000.0,16000000.0,16000000.0
2008-02-26,20000000.0,19000000.0,20000000.0,19000000.0,19000000.0
2008-02-27,,19000000.0,19000000.0,18000000.0,19000000.0
2008-02-28,16000000.0,14000000.0,14000000.0,16000000.0,15000000.0
2008-02-29,17000000.0,17000000.0,17000000.0,16000000.0,17000000.0
2008-03-01,19000000.0,19000000.0,19000000.0,19000000.0,19000000.0
2008-03-02,7000000.0,8000000.0,9000000.0,7000000.0,8000000.0
2008-03-03,7000000.0,7000000.0,5000000.0,3000000.0,6000000.0
2008-03-04,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0
2008-03-05,19000000.0,18000000.0,19000000.0,18000000.0,19000000.0
2008-03-06,7000000.0,9000000.0,7000000.0,5000000.0,7000000.0
2008-03-07,20000000.0,20000000.0,20000000.0,19000000.0,20000000.0
2008-03-08,18000000.0,17000000.0,19000000.0,18000000.0,18000000.0
2008-03-09,20000000.0,20000000.0,21000000.0,19000000.0,21000000.0
2008-03-10,21000000.0,21000000.0,21000000.0,20000000.0,21000000.0
2008-03-11,21000000.0,21000000.0,21000000.0,21000000.0,21000000.0
2008-03-12,21000000.0,19000000.0,20000000.0,21000000.0,20000000.0
2008-03-13,17000000.0,16000000.0,17000000.0,17000000.0,16000000.0
2008-03-14,20000000.0,19000000.0,19000000.0,20000000.0,19000000.0
2008-03-15,16000000.0,15000000.0,16000000.0,17000000.0,16000000.0
2008-03-16,21000000.0,19000000.0,19000000.0,20000000.0,18000000.0
2008-03-17,9000000.0,6000000.0,9000000.0,7000000.0,6000000.0
2008-03-18,3000000.0,5000000.0,3000000.0,4000000.0,3000000.0
2008-03-19,23000000.0,23000000.0,24000000.0,23000000.0,
2008-03-20,24000000.0,23000000.0,24000000.0,23000000.0,23000000.0
2008-03-21,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0
2008-03-22,19000000.0,17000000.0,20000000.0,18000000.0,19000000.0
2008-03-23,20000000.0,20000000.0,21000000.0,20000000.0,22000000.0
2008-03-24,24000000.0,23000000.0,24000000.0,23000000.0,23000000.0
2008-03-25,23000000.0,,,23000000.0,
2008-03-26,,17000000.0,17000000.0,20000000.0,18000000.0
2008-03-27,24000000.0,24000000.0,24000000.0,23000000.0,24000000.0
2008-03-28,5000000.0,8000000.0,8000000.0,5000000.0,7000000.0
2008-03-29,8000000.0,9000000.0,8000000.0,6000000.0,8000000.0
2008-03-30,17000000.0,17000000.0,11000000.0,12000000.0,11000000.0
2008-03-31,17000000.0,19000000.0,18000000.0,15000000.0,16000000.0
2008-04-01,25000000.0,24000000.0,25000000.0,24000000.0,25000000.0
2008-04-02,5000000.0,4000000.0,5000000.0,3000000.0,4000000.0
2008-04-03,16000000.0,16000000.0,17000000.0,14000000.0,15000000.0
2008-04-04,20000000.0,20000000.0,19000000.0,21000000.0,19000000.0
2008-04-05,25000000.0,24000000.0,25000000.0,25000000.0,25000000.0
2008-04-06,25000000.0,25000000.0,25000000.0,24000000.0,25000000.0
2008-04-07,16000000.0,18000000.0,17000000.0,18000000.0,16000000.0
2008-04-08,24000000.0,24000000.0,23000000.0,21000000.0,23000000.0
2008-04-09,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
2008-04-10,23000000.0,22000000.0,24000000.0,23000000.0,22000000.0
2008-04-11,26000000.0,26000000.0,26000000.0,25000000.0,25000000.0
2008-04-12,24000000.0,24000000.0,24000000.0,23000000.0,24000000.0
2008-04-13,27000000.0,27000000.0,27000000.0,26000000.0,27000000.0
2008-04-14,27000000.0,27000000.0,28000000.0,27000000.0,27000000.0
2008-04-15,27000000.0,27000000.0,27000000.0,26000000.0,27000000.0
2008-04-16,24000000.0,24000000.0,23000000.0,20000000.0,22000000.0
2008-04-17,13000000.0,13000000.0,,10000000.0,11000000.0
2008-04-18,27000000.0,27000000.0,27000000.0,27000000.0,27000000.0
2008-04-19,28000000.0,27000000.0,28000000.0,27000000.0,27000000.0
2008-04-20,18000000.0,19000000.0,21000000.0,17000000.0,19000000.0
2008-04-21,26000000.0,26000000.0,26000000.0,24000000.0,26000000.0
2008-04-22,13000000.0,16000000.0,11000000.0,,12000000.0
2008-04-23,7000000.0,6000000.0,8000000.0,10000000.0,8000000.0
2008-04-24,,24000000.0,,23000000.0,
2008-04-25,,25000000.0,24000000.0,23000000.0,24000000.0
2008-04-26,28000000.0,27000000.0,28000000.0,28000000.0,28000000.0
2008-04-27,25000000.0,25000000.0,26000000.0,22000000.0,25000000.0
2008-04-28,28000000.0,,29000000.0,29000000.0,28000000.0
2008-04-29,28000000.0,28000000.0,29000000.0,29000000.0,28000000.0
2008-04-30,26000000.0,26000000.0,27000000.0,26000000.0,26000000.0
2008-05-01,26000000.0,26000000.0,26000000.0,24000000.0,25000000.0
2008-05-02,29000000.0,29000000.0,30000000.0,30000000.0,29000000.0
2008-05-03,30000000.0,29000000.0,29000000.0,29000000.0,29000000.0
2008-05-04,28000000.0,27000000.0,28000000.0,27000000.0,27000000.0
2008-05-05,20000000.0,20000000.0,23000000.0,15000000.0,21000000.0
2008-05-06,18000000.0,24000000.0,19000000.0,12000000.0,18000000.0
2008-05-07,5000000.0,6000000.0,4000000.0,7000000.0,5000000.0
2008-05-08,23000000.0,24000000.0,22000000.0,23000000.0,22000000.0
2008-05-09,28000000.0,28000000.0,28000000.0,29000000.0,28000000.0
2008-05-10,26000000.0,26000000.0,25000000.0,25000000.0,24000000.0
2008-05-11,30000000.0,30000000.0,30000000.0,30000000.0,29000000.0
2008-05-12,28000000.0,29000000.0,29000000.0,28000000.0,28000000.0
2008-05-13,22000000.0,24000000.0,23000000.0,17000000.0,22000000.0
